,Unnamed: 0,Tour_Name,Tour_Type,Number_of_Reviewer,Duration,Price,Highlight,Location,Rating
1509,1509,1570. 7-Day Private Tour of Cambodia and Laos,Bus Tours,,3+ days,"2,190.00","Breakfast, Breakfast, Breakfast, Breakfast, Breakfast, Lunch, Breakfast, On-Tour Air included (1 flight), Stay 3 nights at the Borei Angkor Resort & Spa (Landmark Room) or Similar Hotel, Stay 3 nights at the Maison Dalabua Hotel (Deluxe Room) or Similar Hotel, Private transportation by modern air-conditioned vehicle, Private professional Licensed English Speaking guide, Airport transfers upon arrival and departure as noted, Sightseeing as specified including entrance fees, 7 meals; service charges, taxes and porterage, Included admission fee to visit the temples in Angkor Archaeological Park three-day ticket $62.00, Internation flight tickets Siem Reap to Luang Prabang, Laos, Entry/Admission - Angkor Thom South Gate, Entry/Admission - Bayon Temple, Entry/Admission - Baphuon Temple, Entry/Admission - Terrace of the Elephants, Entry/Admission - Terrace of the Leper King, Entry/Admission - Phimeanakas, Entry/Admission - Ta Prohm, Entry/Admission - Angkor Wat, Entry/Admission - Banteay Srei, Entry/Admission - Preah Khan, Entry/Admission - Kompong Phluk, Entry/Admission - Royal Palace Museum, Entry/Admission - Wat Xiengthong, Entry/Admission - Wat Mai Suwannaphumaham, Entry/Admission - Traditional Arts and Ethnology Centre, Entry/Admission - Pak Ou Caves, Entry/Admission - Alms Giving Ceremony, Entry/Admission - The Living Land Farm, Entry/Admission - Kuang Si Falls","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
3646,3646,"Preah Vihear, Koh Ker & Beng Mealea Tour",Day-Trips,7.0, 12 hours (approx.),$128.25 ,"Hotel pick-up and drop off (if requested), Professional English-speaking guide, Transport by your chosen vehicle, Bottled water & Cold towels","Siem Reap, Cambodia",star-5
2864,2864,"Phnom Penh Kampot Tour ""Pepper Farm, Phnom Chhngok Cave, Salt Fields""",Day-Trips,3.0, 8 to 10 hours (approx.),$100.00 ,"Air-conditioned vehicle, Tour Guide: English or French speaking at Pepper Farm only, English-Speaking driver, Water, Hotel pick up & drop off","Phnom Penh, Cambodia",star-5
855,855,916. Angkor Wat 2-Day with Banteay Srei and local foods tasting,Bus Tours,3.0,2 days,111,"English speaking Tour Guide, Transportation ( AC car or minivan or minibus, Bottles of cold drinking Water.","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",5
1456,1456,1517. Personalised Angkor Wat Sunrise Guided Tour by Jeep,Full-day Tours,,7–8 hours,75,"English speaking guide, Round trip by jeep, Cold drinking water & green coconuts, Wipe tissue","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
78,78,109. Oudong Mountain And Floating Village Cycle Tour,Adventure Tours,16.0,6+ hours,89,"Hotel pick up and drop off, English speaking cycle guide, Cannondale Mountain Bike and Helmet, Purified drinking water, and some tropical fruits, 1 lunch at Khmer local restaurant, Ferry crossing fee of the Tonle Sap Lake and supported vehicle, Entry/Admission - Udong Mountain","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets",5
944,944,1005. Private Angkor Wat sunrise Bayon Ta Prohm private from Siem Reap,Full-day Tours,1.0,6+ hours,87.18,"Professional English speaking guide, Motor bike driver and helmet, Cold bottle of water, Gratuity is recommended, pick up and drop off","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",5
199,199,230. Phnom Penh 2 Days Tours of Perfect Itinerary,Luxury Car Tours,5.0,2 days,99,"Hotel Pick Up and Drop Off by private transfer, Tours with professional English speaking license Tour Guide, All private transfer with air-con vehicle in the tours itinerary, All Sightseeing fees as mentioned in the tours itinerary, All services charge and current government VAT tax, Entry/Admission - Royal Palace, Entry/Admission - Silver Pagoda, Entry/Admission - Wat Phnom, Entry/Admission - Independence Monument, Entry/Admission - Statue of King Father Norodom Sihanouk, Entry/Admission - Wat Ounalom, Entry/Admission - Tuol Sleng Genocide Museum, Entry/Admission - Choeung Ek Genocidal Center, Entry/Admission - Central Market, Entry/Admission - Udong Mountain, Entry/Admission - Vipassana Dhurak Buddhist Centre of Kingdom of Cambodia, Entry/Admission - Udong, Entry/Admission - Mekong River, Entry/Admission - Udong","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets",5
1536,1536,1597. Phnom Penh Transfer - Hotel or Airport,20–30 minutes,3.0,20–30 minutes,22,"4-seater airconditioned vehicle transfer for 1-3pax, Service of English speaking-driver from airport to hotel or hotel to airport, Unlimited water bottle and cold towel during transfer, Travel insurance during transfer","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets",3.5
1726,1726,1787. 3 Days Angkor Wat Private Tour: Cover all Main Temples,Luxury Car Tours,,3 days,305,"Service of a driver and airconditioned/insurance vehecle, Service of an experienced tour guide, Water and cold towel along the vehecle during tour","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
801,801,"862. Private Bonteay Srei, Kbal Spean & Beng Mealea Temple Tour",Full-day Tours,2.0,7–8 hours,100,"English speaking tourist guide, Hotel pick up and drop off, Private transportation, Cool hand towels, Bottled water","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",5
2272,2272,2333. Taste Cambodia: Tours Of Siem Reap By Evening,4 hours,,4 hours,62.6,"Visit to the food market, Small group tour with a personal local guide, Insider tips and recommendations from your local host, The chance to try and buy local specialties, Experience first hand local culture and cuisine","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
1588,1588,1649. 2 Days(Preah Vihear & Koh Ker+Tonle Sap Lake),Bus Tours,,2 days,526.35,"Lunch, English speaking tour guide, Air-conditioned vehicle, Pick up & Drop, Cool towel, Bottle water, Entry/Admission - Tonle Sap Lake, Entry/Admission - Koh Ker Temple","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets",
1871,1871,1932. Explore Siem Reap Angkor Wat Complex by Car,6+ hours,,6+ hours,45,"Air-conditioned vehicle, English Speaking Tour Guide, Pick up and Drop off by Car, Bottle of Water","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
231,231,262. Private 3-Day Angkor Wat Tour from Krong Siem Reap,Multi-day Tours,54.0,15–30 minutes,287.18,"Private transportation, Guide, Water and towel","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",5
1373,1373,1434. Kampot and Kep Excursion from Sihanoukville Cruise Port,Full-day Tours,,6+ hours,160.65,"Hotel pickup and drop-off, Local live English Speaking Guide through out the tour, Shared air conditioned vehicle on tour, Cold bottled waters on tours, Small group tour, Bottled water","Asia, Cambodia, Sihanoukville Province, Sihanoukville, Things to Do in Sihanoukville, Sihanoukville Tours, Tours and Tickets",
3274,3274,Tuol Sleng Museum and Russian Market Half-day Tour,Half-day-Tours,, 4 hours (approx.),$57.70 ,"A half-day tour with a professional English-speaking guide., Transportation by air-conditioned vehicle with professional driver., All entrance fees for visits as mentioned in the description., All applicable taxes and service charges","Phnom Penh, Cambodia",
2594,2594,Privately Guided Full Day TukTuk City Tour of Phnom Penh and Area,Day-Trips,7.0, 8 to 9 hours (approx.),,Bottled water,"Phnom Penh, Cambodia",star-5
2098,2098,2159. Private One Day Tour To Preh Vihear Temple,Bus Tours,,5–6 hours,304.62,"Private English Speaking Tour Guide, Private Transportation with A/C, Pure Drinking Water, Hotel pick up & drop-off, Entry/Admission - Preah Vihear Temple","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
2121,2121,2182. Explore Kompong Khleang Floating Village & Beng Mealea temple,Adventure Tours,,2–3 hours,60,"Private a/c transport with driver, All local applicable taxes, Hotel pickup and drop-off, Expert and knowledgeable English-speaking tour guide","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
2367,2367,2428. Kompong Kleang floating village and Ancient Temples Explorer,Full-day Tours,,7–8 hours,57.7,"Air-conditioned vehicle, Experienced English speaking local guide, Pick up & drop off (from/at your hotel), Cool water and towels","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
2011,2011,2072. Temples Shearing Tours,Full-day Tours,,6+ hours,18.47,"Air-conditioned vehicle, Bottled water, English Speaking Tour Guide, Pick up & Drop Off","Asia, Cambodia, Siem Reap Province, Siem Reap, Svay Dangkum, Things to Do in Svay Dangkum, Svay Dangkum Tours, Tours and Tickets",
1461,1461,"1522. Private Angkor Wat Sunrise, Banteay Srei, Bayon &Ta Prohm tour",Full-day Tours,,9–10 hours,135,"Bottled water, Free pickup and drop-off at city hotels, Professional English-speaking tour guide, Sightseeing as specified in the description, Transportation by air-conditioned vehicle","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
3606,3606,Kompong Pluk by Half day afternoon Shared Tour,Nature-and-Wildlife,, 5 hours (approx.),$43.08 ,"Entry fee and boat ticket, Air conditioned vehicle, Drinking Water and cold towel, Hotel pick up and drop off, professional English Speaking guide, Note: we use motor bike for one pax per day, 3 pax with Lexus and 4 by min van","Siem Reap, Cambodia",
1143,1143,1204. Sihanoukville City Tour,Bus Tours,1.0,6 hours,74.68,"Air-conditioned vehicle, English speaking guide, Entrance fees, Refreshment drink & cold towel","Asia, Cambodia, Sihanoukville Province, Sihanoukville, Things to Do in Sihanoukville, Sihanoukville Tours, Tours and Tickets",4
3362,3362,1 Day-Angkor Wat With Small Circuit & Cruise to Floating Village,Nature-and-Wildlife,, 7 to 8 hours (approx.),$55.00 ,"All local Applicable Taxes, To Experience Tuk Tuk Most Popular Tuk Tuk /car/van/minibus, Cold Water & Sweep towel, Professional English Speaking Tour Guide","Krong Siem Reap, Cambodia",
191,191,222. Phnom Penh Morning Market & Food Tour by Tuktuk - Includes All Food & Drinks!,Private and Luxury,6.0,3 hours,45,"Private tuktuk transportation, Hotel Pickup Provided (centrally located hotels), 6 stops at a selection of sit-down restaurants, street-food stalls, a local market, and a cafe., Local foodie guide from Phnom Penh, All food & drinks, including coffee (we provide a LOT of food), Handmade souvenir from the market","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets",5
104,104,135. Angkor Sunrise Discovery Active Bike Day Tour,Full-day Tours,336.0,6+ hours,99,"Hotel pickup and drop-off, Transport by air-conditioned minivan, Bike and safety equipment, Professional guide, Breakfast, Lunch, Snacks and refreshment","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",5
3745,3745,A Day Trip To Phnom Chisor And Tonle Batti From Phnom Penh,Extreme Sports,, 6 to 8 hours (approx.),$61.00 ,"Private English speaking guide, or friendly driver Option, Tickets and Entrance fee, Cold boittles of water, Gasoline, Tolls, Parking, Passenger insurance","Phnom Penh, Cambodia",
2257,2257,2318. Explore Angkor Wat and Magical Temple VIP Private Tour,Full-day Tours,,6+ hours,60,"Pick up and drop off to the hotel, Cold water and towel, Parking fee, Tour information, Sunset, A/C Car, English Speaking Driver","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
1924,1924,1985. Private Full 2-Day Temples With Sunrise Small Group,Bus Tours,,2 days,115.39,"Air-conditioned vehicle, English Speaking Guide, Cool Water and Towels, Local Snacks","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
3575,3575,Two Days Angkor Tour,Overnight-Tours,4.0, 2 days  (approx.),$190.00 ,Air-conditioned vehicle,"Krong Siem Reap, Cambodia",star-5
2664,2664,Full Day Tour to Angkor Wat and 4 Other Main Temples,Full-day-Tours,, 8 hours 30 minutes (approx.),$30.00 ,"Air-conditioned vehicle, Fuel surcharge, Parking Fees","Siem Reap, Cambodia",
1467,1467,1528. Private Angkor Two Days Temples Tour,Luxury Car Tours,,2 days,130,"English speaking tourist guide, Hotel pick up and drop off, Air-conditioned vehicle, Cool hand towels, Water bottled","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
3587,3587,Half-Day Preah Khan and Neak Pean Temples from Siem Reap,Half-day-Tours,1.0, 4 hours (approx.),$40.00 ,"Hotel pickup and drop-off, Professional guide and driver, Bottled water, Transport by Tuk Tuk or air-conditioned minivan depending on the number of travelers, Fuel surcharge, Landing and facility fees, Lunch","Siem Reap, Cambodia",star-5
2881,2881,Private Taxi Transfer From Phnom Penh - Koh Kong by Experience Relibale Driver,Private-Drivers,, 5 to 6 hours (approx.),$69.00 ,"Gasoline, Toll, local tax, parking, Private driver and passanger insurnace, Stop half way for barthroom and lunch break","Phnom Penh, Cambodia",
2274,2274,2335. 2-Days Angkor Wat Sunrise & Monk Blessing Ceremony,Bus Tours,,2 days,135,"English-speaking guide, Monk blessing ceremony, Sarong & Towel, Transport by private car or tuk tuk, Entry/Admission - Tonle Sap Lake","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
1738,1738,1799. Siem Reap to Phnom Penh by Private Van or Minibus,6 hours,,6 hours,65,"Hotel pickup and drop-off (if airport surcharge 20USD per car), Good car with good air conditioned, Professional driver, All toll fees, Toilet stop","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
1656,1656,1717. Private Angkor Wat Sunset 4 main temples by Tuk Tuk,Full-day Tours,,6+ hours,61.54,"Professional English speaking tour guide, Tuk Tuk and licensed driver, Cool pure drinking water and towels., pick up and drop off, gratuity recommended","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
2285,2285,2346. Cooking Class Menu C,Cooking Classes,,3 hours,27.5,Lunch,"Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
1721,1721,1782. Full-day private car charter from Siem Reap city to Phnom Kulen x Beng Mealea,20 minutes,,20 minutes,16,"Air-conditioned vehicle, Fuel surcharge, Parking Fees, Private transportation","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
3684,3684,Full-Day Kulen Waterfall & 1000 Lingas Join-in Tour,Day-Trips,, 10 hours (approx.),$40.00 ,"Hotel pickup (8:00am to 8:25am), Transport by air-conditioned minivan, Professional English-speaking guide, Cold towels, Bottled water, Local taxes, Hotel Dropoff, Entry/Admission - Phnom Kulen National Park","Siem Reap, Cambodia",
2059,2059,2120. Cambodia Sightseeing Tour - Banteay Srey Temple and Beongmealea Temple,Full-day Tours,,7–8 hours,150,Air-conditioned vehicle,"Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
2587,2587,Cooking class in Kampot,Cooking-Classes,6.0, 4 hours (approx.),$20.00 ,Food and market tour,"Krong Kampot, Cambodia",star-5
3173,3173,Journey to the Historian Land of Angkor with Round-Trip Airport Transfers,Multi-day-Tours,, 3 days  (approx.),$295.00 ,"Lunch, Meet and greet service at airport, including welcome itinerary and signage, Air-conditioned vehicle, Sightseeing as per itinerary, Admission to attractions where applicable, English Speaking Tour Guide","Siem Reap, Cambodia",
